"更新文件路径  ","Update File Path"
"重排活动样条中的间隙  ","Shuffe the gap in the active Spline"
"重排步骤  ","Shuffle Step"
"重排离群点  ","Shuffle Outliers"
"MACHIN3：转换样条类型  ","MACHIN3: Convert Spline Type"
"转换样条类型  ","Convert Spline Type"
"端点  ","Endpoints"
"确保符合端点  ","Make sure to meet the Endpoints"
"满足端点  ","Meet Endpoints"
"MACHIN3：反向样条  ","MACHIN3: Reverse Spline"
"反向样条方向  ALT：跳过反向，仅显示当前方向 ","Reverse Spline Direction\nALT: Skip reversing, only show the current direction"
"时间（秒）  ","Time (s)"
"透明度  ","Alpha"
"MACHIN3：对称化曲线  ","MACHIN3: Symmetrize Curve"
"对称化曲线  ","Symmetrize Curve"
"光标  ","Cursor"
"在光标空间进行对称  ","Symmetrize in Cursor Space"
"删除冗余  ","Remove Redundant"
"删除冗余中心点  ","Remove Redundant Center Points"
"相交点  ","intersected points"
"滑动点  ","Slide Point"
"滑动  ","Slide"
"MACHIN3：滑动点  ","MACHIN3: Slide Point"
"在其连接段上滑动单个曲线点  ","Slide Single Curve Point on its connected Segment(s)"
"CURVEmachine %s  ","CURVEmachine %s"
"调用默认  ","INVOKE_DEFAULT"
"新版本可用！  ","A new version is available!"
"有限的BEZIER支持！  ","Limited BEZIER Support!"
"连接  ","Connect"
"插值  ","Interpolate"
"对称化  ","Symmetrize"
"合并到最后  ","Merge to Last"
"合并到中心  ","Merge to Center"
"刀具  ","Knife"
"反向  ","Reverse"
"循环  ","Cyclic"
"端点  ","Endpoint"
"平滑  ","Smooth"
"填充盖  ","Fill Caps"
"深度  ","Depth   "
"挤出  ","Extrude   "
"周围分辨率  ","Resolution Around   "
"沿着的分辨率  ","Resolution Along   "
"Nurbs 顺序U  ","Nurbs Order U   "
"(X) 删除  ","(X) Delete"
"VIEW3D_MT_edit_curve_delete  ","VIEW3D_MT_edit_curve_delete"
"(Y) 分割  ","(Y) Split"
"单点多边形曲线  ","Single Point Poly Curve"
"MACHIN3：绘制标签  ","MACHIN3: Draw Label"
"要绘制HUD的文本  ","Text to draw the HUD"
"屏幕坐标  ","Screen Coordinates"
"中心  ","Center"
"MACHIN3：获取CURVEmachine支持  ","MACHIN3: Get CURVEmachine Support"
"生成日志文件和请求支持的说明。  ","Generate Log Files and Instructions for a Support Request."
"MACHIN3：移除更新  ","MACHIN3: Remove Update"
"我改变主意了，我不  ","I changed my mind, I don"
"MACHIN3：使用更新  ","MACHIN3: Use Update"
"MACHIN3：重新扫描更新  ","MACHIN3: Re-Scan Updates"
"重新扫描更新  ","Re-Scan Updates"
"曲线作为字典  ","curve as dict"
在系统控制台中打印插件注册输出  ,Print Addon Registration Output in System Console
混合操作 默认段数  ,Blendulate Default Segment Count
在 Blender 的编辑曲线上下文菜单中显示 CURVEmachine  ,Show CURVEmachine in Blender's Edit Curve Context Menu
显示曲线分割工具  ,Show Curve Split Tool
因为 Y 键用于菜单  ,Because the Y key is used for the Menu
模态 HUD 缩放  ,Modal HUD Scale
超时  ,Timeout
调节淡出 HUD 的持续时间  ,Modulate Duration of Fading HUDs
曲线刀,Curve Knife
非法选择,Illegal Selection
确保活动样条是至少包含3个点的POLY或NURBS类型。,Ensure the Active Spline is of type POLY or NURBS with at least 3 Points.
转换为多边形,Convert to POLY
转换为 NURBS 曲线,Convert to NURBS
